SMILES,HOMO,LUMO,E_gap,E_st
C12=C(c3c([C]1SC(=C2)c1ccc(c2c4c(c(c5c2nc(c(n5)c2ccc(s2)C)c2ccc(s2)C)c2ccc(s2)c2sc5[C]6C(=C(c5c2)[CH]c2cc(cc(c2)OC)OC)C=C(S6)c2ccc(c5c6c(c(c7c5nc(c(n7)c5ccc(s5)C)c5ccc(s5)C)c5cccs5)nsn6)s2)nsn4)s1)scc3)[CH]c1cc(cc(c1)OC)OC,-4.310013646,-3.152984918,1.157028728,0.385533564
C12=C(c3c([C]1SC(=C2)c1ccc(c2c4c(c(c5c2nc(c(n5)c2ccc(s2)C)c2ccc(s2)C)c2ccc(c5sc6[C]7C(=C(c6c5)[CH]c5cc(cc(c5)OC)OC)C=C(S7)c5ccc(c6c7c(c(c8c6nc(c(n8)c6ccc(s6)C)c6ccc(s6)C)c6ccc[se]6)nsn7)[se]5)[se]2)nsn4)[se]1)scc3)[CH]c1cc(cc(c1)OC)OC,-4.258856214,-3.224006672,1.034849542,0.28550473
c12c(-c3c(ccs3)/C/2=C/c2cc(cc(c2)OC)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(s2)C)c2ccc(s2)C)c2c(c(c(s2)c2sc4[C]5C(=C(c4c2)[CH]c2cc(cc(c2)OC)OC)C=C(S5)c2c(c(c(c4c5c(c(c6c4nc(c(n6)c4ccc(s4)C)c4ccc(s4)C)c4c(c(cs4)C)C)nsn5)s2)C)C)C)C)nsn3)s1)C)C,-4.57967862,-2.991077088,1.588601532,0.727496779
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(s2)C)c2ccc(s2)C)c2c(c(c(s2)c2sc5-c6c(cc(s6)c6c(c(c(c7c8c(c(c9c7nc(c(n9)c7ccc(s7)C)c7ccc(s7)C)c7c(c(cs7)OC)OC)nsn8)s6)OC)OC)/C(=C\c6cc(cc(c6)OC)OC)/c5c2)OC)OC)nsn4)s1)OC)OC)scc3)[CH]c1cc(cc(c1)OC)OC,-4.332326994,-2.924137044,1.40818995,0.592152718
c12c(-c3c(ccs3)/C/2=C/c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(s2)c2sc4[C]5C(=C(c4c2)[CH]c2ccc(cc2)OC)C=C(S5)c2c(c(c(c4c5c(c(c6c4nc(c(n6)c4ccc(cc4)F)c4ccc(cc4)F)c4c(c(cs4)OC)OC)nsn5)s2)OC)OC)OC)OC)nsn3)s1)OC)OC,-4.429743806,-3.032982644,1.396761162,0.59918632
c12c(-c3c(ccs3)/C/2=C/c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(c4sc5[C]6C(=C(c5c4)[CH]c4ccc(cc4)OC)C=C(S6)c4c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)F)c5ccc(cc5)F)c5c(c(c[se]5)OC)OC)nsn6)[se]4)OC)OC)[se]2)OC)OC)nsn3)[se]1)OC)OC,-4.346749036,-3.142372472,1.204376564,0.417213348
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1ccc(c2c3c(c(c4c2nc(c(n4)C)C)c2sc(cc2)c2sc4-c5c(cc(s5)c5ccc(c6c7c(c(c8c6nc(c(n8)C)C)c6sccc6)nsn7)s5)[C](c4c2)[C](c2ccc(cc2)OC)c2ccc(cc2)OC)nsn3)s1,-4.20552187,-3.058833474,1.146688396,0.392363081
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1ccc(c2c3c(c(c4c2nc(c(n4)C)C)c2ccc(c4sc5-c6c(cc(s6)c6ccc(c7c8c(c(c9c7nc(c(n9)C)C)c7ccc[se]7)nsn8)[se]6)[C](c5c4)[C](c4ccc(cc4)OC)c4ccc(cc4)OC)[se]2)nsn3)[se]1,-4.191371942,-3.15244069,1.038931252,0.291885803
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(s2)c2sc5[C]6C(=C(c5c2)[C](c2ccc(cc2)OC)c2ccc(cc2)OC)C=C(S6)c2c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)C)c5ccc(cc5)C)c5c(c(cs5)OC)OC)nsn6)s2)OC)OC)OC)OC)nsn4)s1)OC)OC)scc3)[C](c1ccc(cc1)OC)c1ccc(cc1)OC,-4.238719778,-2.828352916,1.410366862,0.645476449
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)C)c2ccc(cc2)C)c2c(c(c(c4sc5[C]6C(=C(c5c4)[C](c4ccc(cc4)OC)c4ccc(cc4)OC)C=C(S6)c4c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)C)c5ccc(cc5)C)c5c(c(c[se]5)OC)OC)nsn6)[se]4)OC)OC)[se]2)OC)OC)nsn3)[se]1)OC)OC,-4.172051848,-2.992165544,1.179886304,0.434337482
