SMILES,log_solubility
O=C1c2ccccc2C(=O)c2c1ccc(S(=O)(=O)O)c2O,1.225697713
Cc1cccc2c1C(=O)c1cccc(Br)c1C2=O,0.775744273
CC(C)(C)c1cc(O)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.909073896
CC(C)(C)c1cc(Cl)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,2.10188417
Cc1ccc2c(c1)C(=O)c1cc(N)ccc1C2=O,0.330260181
CC(C)(C)c1cc(O)c(Br)c2c1C(=O)c1ccccc1C2=O,2.125610045
Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,1.518979917
Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1ccccc1C2=O,1.424044933
Cc1ccc(C)c2c1C(=O)c1ccccc1C2=O,2.103323697
CC(C)(C)c1cccc2c1C(=O)c1cccc(C(C)(C)C)c1C2=O,2.056491028
Nc1ccc2c(c1N)C(=O)c1ccccc1C2=O,1.670332623
O=C(O)c1cc(O)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,1.557690684
CC(C)(C)c1cccc2c1C(=O)c1cccc(Br)c1C2=O,1.140642223
CC(C)(C)c1cc(C(=O)O)c2c(c1Br)C(=O)c1ccccc1C2=O,1.975746607
CC(C)(C)c1cc(Cl)c(C(C)(C)C)c2c1C(=O)c1ccccc1C2=O,2.691126786
Cc1cc(S(=O)(=O)O)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.278085753
O=C(O)c1cccc2c1C(=O)c1cccc(O)c1C2=O,0.513558338
Cc1ccc2c(c1)C(=O)c1ccc(C(=O)O)cc1C2=O,0.635565452
CC(C)(C)c1ccc2c(c1Br)C(=O)c1ccccc1C2=O,2.209570704
CC(C)(C)c1c(C(=O)O)ccc2c1C(=O)c1ccccc1C2=O,2.241555586
O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)O)c(O)cc21,0.657179114
Cc1cc(C)c2c(c1O)C(=O)c1ccccc1C2=O,2.249645316
